Date,Adj Close,Close,High,Low,Open,Volume
28/08/2020,292.7785034,293.6600037,297.230011,290.980011,295,17157400
31/08/2020,292.3198853,293.2000122,296.8800049,291.5499878,293.9500122,17345100
01/09/2020,294.5531311,295.4400024,301.4899902,292.7099915,294.7099915,17295900
02/09/2020,301.5919495,302.5,303.6000061,293.0499878,298.8800049,24341400
03/09/2020,290.2460938,291.1199951,297.6000061,283.6300049,295.9899902,32294100
04/09/2020,281.8812866,282.730011,289,271.1400146,287.25,30333700
08/09/2020,270.3460388,271.1600037,279.2999878,269.4200134,271.2799988,24864000
09/09/2020,272.8983459,273.7200012,278.480011,271.3500061,275.769989,22918800
10/09/2020,267.2852173,268.0899963,279.1600037,267.0299988,275.5100098,24814700
11/09/2020,265.8096619,266.6099854,271.3900146,262.6400146,270.0599976,18913900
14/09/2020,265.3510437,266.1499939,276.6400146,265.7000122,270.9500122,24093800
15/09/2020,271.6022644,272.4200134,274.519989,269.2999878,270.6700134,18478500
16/09/2020,262.7289429,263.519989,272.4400024,261.7900085,267.2900085,29183400
17/09/2020,254.0550842,254.8200073,261.5,250.1900024,258.2799988,31281400
18/09/2020,251.7719574,252.5299988,259.2000122,250.0500031,258.3999939,28130800
21/09/2020,247.4050903,248.1499939,249.9499969,244.1300049,247.5399933,24709400
22/09/2020,253.9852905,254.75,255.3200073,248.2200012,253.3099976,30293100
23/09/2020,248.2724762,249.0200043,257.9899902,248.1499939,255.2599945,19641300
24/09/2020,248.7809448,249.5299988,252.2400055,245.6199951,246.5,20006800
25/09/2020,254.0550842,254.8200073,255.75,246.6100006,249.3999939,18351300
28/09/2020,256.0490723,256.8200073,259.6000061,254.8200073,259.3999939,18826300
29/09/2020,261.0041504,261.7900085,263.3299866,256.8999939,257.8099976,20200200
30/09/2020,261.1138306,261.8999939,266.0799866,260.1000061,261.980011,20142500
01/10/2020,265.8296204,266.6300049,268.3299866,264.7999878,265.3500061,20009800
02/10/2020,259.1596985,259.9400024,265.1499939,259.1799927,261.2099915,16367600
05/10/2020,263.8555603,264.6499939,264.8699951,260.8399963,262.2000122,12822300
06/10/2020,257.8835449,258.6600037,265.6900024,258.2399902,261.7799988,18696900
07/10/2020,257.3451538,258.1199951,260.1799927,254.8200073,259.2099915,23133400
08/10/2020,262.9682617,263.7600098,264.6199951,259.1499939,259.75,16312800
09/10/2020,263.6561584,264.4500122,264.75,262.1700134,264.519989,14107800
12/10/2020,274.9222412,275.75,280.1799927,267.8699951,270.2000122,31019300
13/10/2020,275.3110962,276.1400146,279.1000061,273.3900146,277.5799866,18063300
14/10/2020,271.0040588,271.8200073,278.75,271.5,277.6199951,15577800
15/10/2020,265.9193726,266.7200012,269.0400085,263.6700134,267.6000061,15416100
16/10/2020,265.1317139,265.9299927,271.3699951,265.2999878,267.3800049,16622700
19/10/2020,260.6152954,261.3999939,268.5499878,259.8800049,265.5299988,13587000
20/10/2020,266.7568054,267.5599976,269.7000122,262.8800049,263.0599976,18763200
